,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude,name,founded_year,total_money_raised,geometry
0,,442 Post Street,10th Floor,94102,San Francisco,CA,USA,37.788482,-122.409173,Kyte,2006,$23.4M,POINT (-122.409173 37.788482)
1,San Francisco Office,410 Townsend,Suite 400,94107,San Francisco,CA,USA,37.392936,-122.07948,Ustream,2007,$60.1M,POINT (-122.07948 37.392936)
4,HQ,2415 3rd St,,94107,San Francisco,CA,USA,37.757758,-122.388243,Revision3,2005,$9M,POINT (-122.388243 37.757758)
5,,374 Brannan St.,,94107,San Francisco,CA,USA,37.780716,-122.393913,CastTV,2006,$3.1M,POINT (-122.393913 37.780716)
6,San Francisco,60 Broadway,,94111,San Francisco,CA,USA,37.787092,-122.399972,Curse,2006,$12M,POINT (-122.399972 37.787092)
8,,2 Shaw Alley,4th Floor,94105,San Francisco,CA,USA,37.786942,-122.401245,Kongregate,2006,$19M,POINT (-122.401245 37.786942)
9,,965 Mission Street,Suite 730,94103,San Francisco,CA,USA,37.781557,-122.407959,DanceJam,2007,$4.5M,POINT (-122.407959 37.781557)
10,,,,94105,San Francisco,CA,USA,37.781265,-122.393229,Crunchyroll,2008,$4.8M,POINT (-122.393229 37.781265)
13,,,,,San Francisco,CA,USA,37.775196,-122.419204,Outspark,2007,$23.3M,POINT (-122.419204 37.775196)
14,SF HQ,365 Vermont St.,,94103,San Francisco,CA,USA,37.765158,-122.404234,Zynga,2007,$860M,POINT (-122.404234 37.765158)
18,,580 Market Street,#600,94104,San Francisco,CA,USA,37.7893215,-122.4013624,Serious Business,2008,$4M,POINT (-122.4013624 37.7893215)
19,HQ,795 Folsom Street,Suite 600,94107,San Francisco,CA,USA,37.3944561,-122.0785314,Kabam,2006,$125M,POINT (-122.0785314 37.3944561)
21,Corporate Headquarters,589 Howard Street,Fifth Floor,94105,San Francisco,CA,USA,37.786906,-122.397672,Lexy,2006,$1.71M,POINT (-122.397672 37.786906)
22,Secret Factory,185 Berry Street,Suite 3000,94107,San Francisco,CA,USA,37.7705096,-122.4015807,ngmoco,2008,$44.8M,POINT (-122.4015807 37.7705096)
23,Main Office,490 2nd Street,Suite 100,94107,San Francisco,CA,USA,37.783046,-122.394067,Shattered Reality Interactive,2006,$1.1M,POINT (-122.394067 37.783046)
24,Main Office,490 2nd Street,Suite 100,94107,San Francisco,CA,USA,37.783046,-122.394067,Shattered Reality Interactive,2006,$1.1M,POINT (-122.394067 37.783046)
25,Headquarters,"685 Market St. Street, Suite 270",,94105,San Francisco,CA,USA,37.804619,-122.371203,Brightstorm,2008,$6M,POINT (-122.371203 37.804619)
26,,,,,San Francisco,CA,USA,37.775196,-122.419204,One Season,2007,$3.75M,POINT (-122.419204 37.775196)
27,Booyah Inc.,"139 Townsend Street, 3rd Floor",,94107,San Francisco,CA,USA,37.420728,-122.2103414,Booyah,2008,$59.5M,POINT (-122.2103414 37.420728)
28,GotGame HQ,1 Bluxome Place,Suite 204,94107,San Francisco,CA,USA,37.77772,-122.395785,GotGame,2006,$1M,POINT (-122.395785 37.77772)
30,Head Quaters,"3rd Floor, 251 Kearny Street",Kearny Street,94108,San Francisco,CA,USA,37.7905538,-122.4041485,Heyzap,2009,$7.97M,POINT (-122.4041485 37.7905538)
